USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.1  0.0 119664  5844 ?        Ss   16:10   0:00 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    16:10   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/0]
root         4  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/0:0]
root         5  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/0:0H]
root         6  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/u16:0]
root         7  0.0  0.0      0     0 ?        S    16:10   0:00 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    16:10   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/0]
root        10  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/1]
root        12  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/1]
root        13  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/1]
root        15  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/1:0H]
root        16  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/2]
root        17  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/2]
root        18  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/2]
root        19  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/2:0]
root        20  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/2:0H]
root        21  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/3]
root        22  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/3]
root        23  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/3]
root        25  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/3:0H]
root        26  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/4]
root        27  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/4]
root        28  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/4]
root        29  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/4:0]
root        30  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/4:0H]
root        31  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/5]
root        32  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/5]
root        33  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/5]
root        34  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/5:0]
root        35  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/5:0H]
root        36  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/6]
root        37  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/6]
root        38  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/6]
root        39  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/6:0]
root        40  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/6:0H]
root        41  0.0  0.0      0     0 ?        S    16:10   0:00 [watchdog/7]
root        42  0.0  0.0      0     0 ?        S    16:10   0:00 [migration/7]
root        43  0.0  0.0      0     0 ?        S    16:10   0:00 [ksoftirqd/7]
root        45  0.0  0.0      0     0 ?        S<   16:10   0:00 [kworker/7:0H]
root        46  0.0  0.0      0     0 ?        S    16:10   0:00 [kdevtmpfs]
root        47  0.0  0.0      0     0 ?        S<   16:10   0:00 [netns]
root        48  0.0  0.0      0     0 ?        S<   16:10   0:00 [perf]
root        49  0.0  0.0      0     0 ?        S    16:10   0:00 [khungtaskd]
root        50  0.0  0.0      0     0 ?        S<   16:10   0:00 [writeback]
root        51  0.0  0.0      0     0 ?        SN   16:10   0:00 [ksmd]
root        52  0.0  0.0      0     0 ?        SN   16:10   0:00 [khugepaged]
root        53  0.0  0.0      0     0 ?        S<   16:10   0:00 [crypto]
root        54  0.0  0.0      0     0 ?        S<   16:10   0:00 [kintegrityd]
root        55  0.0  0.0      0     0 ?        S<   16:10   0:00 [bioset]
root        56  0.0  0.0      0     0 ?        S<   16:10   0:00 [kblockd]
root        57  0.0  0.0      0     0 ?        S<   16:10   0:00 [ata_sff]
root        58  0.0  0.0      0     0 ?        S<   16:10   0:00 [md]
root        59  0.0  0.0      0     0 ?        S<   16:10   0:00 [devfreq_wq]
root        61  0.0  0.0      0     0 ?        S    16:10   0:00 [kworker/0:1]
